region,accuracy,precision,recall,f1
Brazil,0.9703703703703703,0.0,0.0,0.0
Colombia,0.9509803921568627,0.0,0.0,0.0
France,0.8248847926267281,0.03225806451612903,0.1111111111111111,0.05
GB,0.8977900552486188,0.18181818181818182,0.375,0.24489795918367346
Germany,0.8465608465608465,0.041666666666666664,0.14285714285714285,0.06451612903225806
India,0.898936170212766,0.0,0.0,0.0
Japan,0.8708240534521158,0.058823529411764705,0.23076923076923078,0.09375
Korea,0.7389162561576355,0.425,0.3617021276595745,0.39080459770114945
Mexico,0.660377358490566,0.34782608695652173,0.27586206896551724,0.3076923076923077
Nigeria,0.91,0.0,0.0,0.0
Spain,0.782051282051282,0.05405405405405406,0.21052631578947367,0.08602150537634409
US,0.82053494391717,0.14634146341463414,0.1487603305785124,0.14754098360655737
